,date,tweet,dirty_tweet
83,2019-02-26 04:03:32,Sorry Amrit I hadn t seen your video Please give my regards to mummyji amp I will figure out amp speak to RAJU soon,Sorry Amrit I hadn’t seen your video. Please give my regards to mummyji &amp; I will figure out &amp; speak to RAJU soon. https://t.co/hBQvmLqHgQ
84,2019-02-25 15:03:33,Rishtein mein to ye sabke baap lagte hai aur naam bhi hai Shahenshah But ye chicken wali baat abhi tak dimag mein settle nahi hui BadlaUnplugged coming soon g,"Rishtein mein to ye sabke baap lagte hai aur naam bhi hai Shahenshah @SrBachchan. But ye chicken wali baat abhi tak dimag mein settle nahi hui #BadlaUnplugged coming soon 
https://t.co/CZM0fz6W6B
@taapsee @sujoy_g @RedChilliesEnt  @iAmAzure"
85,2019-02-25 04:34:04,Jo dikhe woh sach ho aur jo na dikhe woh jhooth yeh har baar zaroori nahi Badla8March g,"Jo dikhe woh sach ho aur jo na dikhe woh jhooth, yeh har baar zaroori nahi. #Badla8March
https://t.co/u62f57ksY3
@SrBachchan @taapsee @sujoy_g @RedChilliesEnt @iAmAzure https://t.co/BepLEQM8vP"
86,2019-02-23 14:13:38,Sir this is love in A Major and B Sharp,Sir this is love in A Major and B Sharp! https://t.co/z1DzhshwUb
87,2019-02-15 09:43:05,Heartfelt condolences to the families of our valiant jawans May the souls of our countrymen who laid their lives down for us rest in peace Pulwama,Heartfelt condolences to the families of our valiant jawans. May the souls of our countrymen who laid their lives down for us rest in peace. #Pulwama
88,2019-02-13 08:46:53,This image reminds me of the Yellow Brick Road I hope they find answers they r looking for or at least have enough questions to lead a full life mysunshines,This image reminds me of the  Yellow Brick Road....I hope they find answers they r looking for or at least have enough questions to lead a full life....#mysunshines https://t.co/10hdGzZv79
89,2019-02-12 07:42:45,Sach saabit karna aasaan nahi hota par saabit kiye bina woh sach sach nahi hota Unveil the truth with Badal Gupta in the BadlaTrailer g GauravVerma,"Sach saabit karna aasaan nahi hota, par saabit kiye bina woh sach, sach nahi hota.  Unveil the truth with Badal Gupta in the #BadlaTrailer 

https://t.co/u62f57ksY3

@SrBachchan @Taapsee @sujoy_g @gaurikhan @SunirKheterpal @PuriAkshai @_GauravVerma @redchilliesent @iamazure"
90,2019-02-12 00:43:11,Just to feel awesome about myself I have the whole album and my very own first Polyvinyl Chloride Thank u Farhan,Just to feel awesome about myself…I have the whole album and my very own first Polyvinyl Chloride. Thank u Farhan. https://t.co/yoViNGKSWD
91,2019-02-11 07:19:11,Ab mahaul kuch Badla Badla sa lag raha hai Here s the first look of Badla featuring and Directed by g BadlaTrailerTomorrow GauravVerma,"Ab mahaul kuch Badla Badla sa lag raha hai. Here's the first look of Badla featuring @SrBachchan and @taapsee ! Directed by @sujoy_g.
#BadlaTrailerTomorrow 

@gaurikhan @SunirKheterpal @PuriAkshai @_GauravVerma @RedChilliesEnt @iAmAzure https://t.co/KrbwGrxETZ"
92,2019-02-11 06:23:29,Main aap se Badla lene aa raha hoon saab Taiyaar rahiyega,Main aap se Badla lene aa raha hoon @SrBachchan saab! Taiyaar rahiyega...
