,tweet
127,"@GOP It is not AGAINST Trump  -- it is FOR  the Law and Order in our country. 
You should be joining them."
128,"Güney Çin Sabah Postası gazetesinin haberine göre ABD ve Çin, Trump ile Xi'nin Cumartesi sabahı G20 zirvesinde yapacakları görüşme öncesinde ticari anlaşmazlıklarında geçici bir ateşkes üzerinde  anlaştılar."
129,Trump is more upset about a technical interference in the 2020 election cycle than he is with Russian interference in the 2020 election cycle. https://t.co/yha8P46AtO
130,"During Joe Biden’s first two years as Vice President, 785 migrants died attempting to cross the border illegally, 204 more than during President Trump’s first two years. 

Where was Democrats' outrage then? #DemDebate"
131,@JordanSchachtel @DocWashburn Opinion: Don’t count on it Ilhan.  Deportation coming for your fraud and all your crimes... @The_Trump_Train #MAGA
132,@kayleighmcenany The circus began when tRump came down that escalator.
133,this is a real thing that donald trump really tweeted. this man was allowed to run our country. think about that for a minute. https://t.co/oGFOMk7hgJ
134,@RedTRaccoon Kind of like how Trump plays Barr.
135,"“College educated wite suburian woman and I voted for Trump.”  

Well ok that explains everything... https://t.co/LDD8gOJD6B"
136,Newly Released Documents Show Samantha Power Spewing Anti-Trump Bias in Government Emails - While Unmasking Americans https://t.co/YCgwOx5viW via @gatewaypundit
137,"So Donnie Deutsch-apparently now an MSNBC host?-just said that while he found Warren ""delightful,"" she didn't have what it takes to stand on a stage &amp; face off against Trump. Lawrence O'Donnell challenged him &amp; Deutsch got angry, braying about his 30 years studying human behavior"
138,"@DeanObeidallah @realDonaldTrump Because they are speaking in coherent complete sentences, some even in Spanish. Trump can even speak or understand English.  @rea"
139,"Raise your hand if after watching #DemDebate you think Donald Trump will be re-elected.🙋‍♂️

#DemocraticDebate"
140,"Castro: ""On January 20th, 2021, we'll say adios to Donald Trump.""

You can tell him goodbye.
But he’ll still be your President.

Comprende?"
141,Yep. They are sick. https://t.co/mdQQecpZbH
142,@KristinMinkDC Except Castro's proposal is literally open borders which Trump would absolutely destroy.  Beto wants to change immigration rules so that immigrants follow laws but as long as they do they won't be criminalized  for any reason.
143,"In 38 minutes, the Democrats have talked about more policy than Trump has in the past 38 weeks. #DemDebate"
144,"Trump shrugs off the brutal murder of Jamal Khashoggi. Trump is trying to blame the Democrats for the internment of children at the border. Trump says he never could have raped E. Jean Carroll because she's not his type. There's your president, America."
145,"After tonight’s #DemocraticDebate.......that whole Trump 3rd term thing is looking better and better. 

😁"
